CstmrCD,Cstmr.Name,Mfg.No.,RE,ProductName
AI005,,PO25-0700440 Q/AFT/250717-1,SC6-A1(SC120A),MEI23-01-009
AI005,,PO25-0800204 Q/AFT/250814-1,335778-90010-09(E-687)4421,MEI24-06-009
AI005,,PO25-0800203 Q/AFT/250814-4,JBA23-000030(9-65108)4511,X14-286
AI005,,stock,37315-0K010(9-65116)4511,MEI22-11-013
AI005,,Q/AFT/250816-6,37313-0K010(E-591)4122,X15-151
AI005,, PO25-0900093  Q/AFT/250828-1,JBA23-000030(9-65108)3421B,X13-114
AI005,, PO25-0900093  Q/AFT/250828-1,JBA23-000030(9-65108)4511,X14-286
AI005,, PO25-0900093  Q/AFT/250828-1,JBA23-000030(9-65108)4521,X14-034
AI005,,,37315-0K010(9-65116)4511,MEI22-11-013
AI005,,PO25-0800354 Q/AFT/250806-1,SC6-A1(SC102H),MEI21-11-003
AI005,,PO25-0800354 Q/AFT/250806-1,KR30-7FL(G102),MEI19-10-006
AI005,,PO25-0800354 Q/AFT/250806-1,SC4-A2(SC127),T14-031
AI005,,PO25-0900069 Q/AFT/250828-5,JBA22-000050(E-607)4321B,X14-276
AI005,,Q/AFT/250902-1,JBA24-000070(E-604)4224,X14-298
AI005,,Q/AFT/250902-1,JBA24-000070(E-604)4324,MEI22-09-009
AI005,,Q/AFT/250902-1,JBA24-000060(E-605)4421C,MEI25-07-008
AI005,,Q/AFT/250902-1,335746-90010-09(E-684)4221,MEI24-02-011
AI005,,Q/AFT/250902-1,335778-90010-09(E-687)4221,MEI24-02-021
AI005,,Q/AFT/250902-1,335748-90010-09(E-695)4221,MEI24-02-013
AI005,, PO25-0900091 Q/AFT/250902-2,335748-90010-09(E-695)4421,MEI24-06-008
AI005,,PO25-0900162 Q/AFT/250906-1,13411-0E010(2GD)4411,MEI23-08-004
AI005,,PO25-0900162 Q/AFT/250906-1,13411-0E010(2GD)4411,MEI23-08-004
AI005,,PO25-0900162 Q/AFT/250906-1,13411-0E010(2GD)4421,MEI23-08-004
AI005,,PO25-0900162 Q/AFT/250906-1,13411-0E010(2GD)4421,MEI23-08-004
AI005,,PO25-0900162 Q/AFT/250906-1,13411-0E010(2GD)4211,MEI23-08-004
AI005,,PO25-0900162 Q/AFT/250906-1,13411-0E010(2GD)4211,MEI23-08-004
AI005,,PO25-0900162 Q/AFT/250906-1,13411-0E010(2GD)4221,MEI23-08-004
AI005,,PO25-0900162 Q/AFT/250906-1,13411-0E010(2GD)4221,MEI23-08-004
AI005,, PO25-0900089 Q/AFT/250324-3RM,JBA31-000010(9-65112)4411,RAW MATERIAL+HEAT TREATMENT
AI005,, PO25-0900089 Q/AFT/250324-3RM,JBA31-00010(9-65112)4421,RAW MATERIAL +HEAT TREATMENT
AI005,, PO25-0900089 Q/AFT/250324-5RM,JBA31-000020(9-65113)4411,RAW MATERIAL +HEAT TREATMENT
AI005,,PO25-0900169 Q/AFT/250906-2,JBA23-000030(9-65108)3321,X14-226
AI005,,PO25-0900169 Q/AFT/250906-2,JBA31-000010(9-65112)3321,MEI19-11-004
AI005,,PO25-0900169 Q/AFT/250906-2,JBA31-000020(9-65113)3321,X16-170
AI005,,09/09/2025,13411-0E010(2GD)4411,MEI23-08-004
AI005,,09/09/2025,13411-0E010(2GD)4421,MEI23-08-004
AI005,,09/09/2025,13411-0E010(2GD)4211,MEI23-08-004
AI005,,09/09/2025,13411-0E010(2GD)4221,MEI23-08-004
AI005,,09/09/2025,PSED-11301(MAZDA-PE)4411,MEI24-02-019
AI005,,09/09/2025,PSED-11301(MAZDA-PE)4421,MEI24-02-019
AI005,,09/09/2025,PSED-11301(MAZDA-PE)4211,MEI24-02-019
AI005,,09/09/2025,PSED-11301(MAZDA-PE)4221,MEI24-02-019
AI005,,9-9-2025,JBA31-000010(9-65112)3315,X13-116
AI005,,D/O 083-4132,13411-0Y170(1NR)4411,MEI24-02-014
AI005,,D/O 083-4132,13411-0Y170(1NR)4421,MEI24-02-014
AI005,,D/O 083-4132,13411-0Y170(1NR)4211,MEI24-02-014
AI005,,D/O 083-4132,13411-0Y170(1NR)4221,MEI24-02-014
AI005,,D/O 083-4132,13411-0Y150(2NR)4411,MEI24-02-015
AI005,,D/O 083-4132,13411-0Y150(2NR)4421,MEI24-02-015
AI005,,D/O 083-4132,13411-0Y150(2NR)4211,MEI24-02-015
AI005,,D/O 083-4132,13411-0Y150(2NR)4221,MEI24-02-015
AI005,,D/O 083-4132,13411-0Y160(3NR)4411,MEI24-02-016
AI005,,D/O 083-4132,13411-0Y160(3NR)4421,MEI24-02-016
AI005,,D/O 083-4132,13411-0Y160(3NR)4211,MEI24-02-016
AI005,,D/O 083-4132,13411-0Y160(3NR)4221,MEI24-02-016
AI005,,Q/AFT/250324-2RM,13411-0T071(2ZR)4411,Raw Material+Heat treatment
AI005,,D/O 083-4132,JBA24-000060(E-605)4321A,MEI20-11-012
AI005,,Q/AFT/250324-2RM,13411-0T071(2ZR)4421,Raw Material+Heat treatment
AI005,,Q/AFT/250324-2RM,13411-0T071(2ZR)4211,Raw Material+Heat treatment
AI005,,Q/AFT/250324-2RM,13411-0T071(2ZR)4221,Raw Material+Heat treatment
AI005,,Q/AFT/250324-1RM,41251-0K100(9-65114)4411,Raw Material YXR33
AI005,,Q/AFT/250324-1RM,37313-0K010(E591)4311,Raw Material YXR33
AI005,,Q/AFT/250324-1RM,JBA22-000040(E-606)4311,Raw Material YXR33
AI005,,Q/AFT/250324-1RM,41251-0K100(9-65114)4411,Raw Material  YXR33
AI005,,Q/AFT/250324-1RM,JBA24-000070(E-604)4311, Raw Material  YXR33
AI005,,Q/AFT/250324-1RM,JBA24-000060(E-605)4311,Raw Material  YXR33
AI005,,10-9-2025,JBA23-000030(9-65108)4423,MEI22-11-016
AI005,,10-9-2025,41251-0K100(9-65114)4426,MEI22-09-018
AI005,,10-9-2025,41251-0K100(9-65114)4112,MEI22-01-001
AI005,,10-9-2025,37315-0K010(9-65116)4511,MEI22-11-013
AI005,,10/09/2025,JBA31-000020(9-65113)4224,MEI21-01-010
AI005,,10/09/2025,JBA31-000020(9-65113)4224A,MEI19-07-008
AI005,,10/09/2025,JBA31-000020(9-65113)3315,X13-115
AI005,,10/09/2025,JBA31-000020(9-65113)3316,X13-115
AI005,,PO25-0900184 Q/AFT/250828,SC4-A2-SC121,MEI21-10-003
AI005,,PO25-0900184 Q/AFT/250828,SC4-A2-SC118,MEI21-10-003
AI005,,PO25-0900184 Q/AFT/250828,SC6-A1(SC109),T18-182
AI005,,PO25-0900184 Q/AFT/250828,SC4-A2(SC108C),T18-254
AI005,,PO25-0900184 Q/AFT/250828,CS4-A2(SC123),T14-031
AI005,,PO25-0900184 Q/AFT/250828,KR16-TH(Q121),MEI24-06-006
