PartsName,Material,SizeRemarks,PartsQuantity
SPARE PART,SCM435H,305X95,2
DIE PART(FG),DAC,25.2X153.7,1
DIE PART(FG),YXR33,35.2X58.2X150,6
DIE PART9FG),YXR3,35X56.3X150,1
MACHINE,SKD61,75X196.5,2
DIE PART(FG),DAC,27X154X280,1
DIE PART(FG),YXR33,35.2X58.2X150,2
DIE PART(FG),SLD,30X140X170,2
DIE PART(FG),YXR3,35X56.3X150,2
SPARE PART,DAC,240X141,1
SPARE PART,SCM440,53X199,8
SPARE PART,DAC,58X50,2
MACHINE,SKD61,47.7X324.6,1
Machine,SKD61,220X265.5,1
Machine,SKD61,225X265.5,2
Machine,SKD61,52.7X286,1
Machine,SKD61,28.4X296.5,1
Machine,SKD61,24X256.9,1
Machine,SKD61,23.7X290.9,2
Die Parts (FG),DAC,24.9X152.9,1
DIE PART(WIP),DACMAGIC,95X240X720,1
DIE PART(WIP),DACMAGIC,95X240X720,2
DIE PART(WIP),DACMAGIC,94X240X720,1
DIE PART(WIP),DACMAGIC,94X240X720,2
DIE PART(WIP),DACMAGIC,95X240X720,1
DIE PART(WIP),DACMAGIC,95X240X720,2
DIE PART(WIP),DACMAGIC,94X240X720,1
DIE PART(WIP),DACMAGIC,94X240X720,2
,DAC-I,163X206X426,2
,DAC-I,173X206X426,2
,DACMAGIC,160X206X426,1
DIE PART(FG),DM,80.6X240X350,2
DIE PART(FG),DM,76.8X265X350,2
DIE PART(FG),DM,76.8X265X350,2
DIE PART(WIP),DACMAGIC,95X240X720,1
DIE PART (WIP),DACMAGIC,94X240X720,1
DIE PART (WIP),DACMAGIC,95X240X720,1
DIE PART (WIP),DACMAGIC,94X240X720,1
DIE PART (WIP),DACMAGIC,95.25X240X580,1
DIE PART (WIP),DACMAGIC,96X240X580,1
DIE PART (WIP),DACMAGIC,95.5X240X580,1
DIE PART (WIP),DACMAGIC,94X240X580,1
,DM,25X33X42,2
MACHINE,AUD60A,95X240X545,1
MACHINE,AUD60A,95X240X545,1
MACHINE,AUD60A,95X240X545,1
MACHINE,AUD60A,95X240X545,1
MACHINE,AUD60A,95X240X545,1
MACHINE,AUD60A,95X240X545,1
MACHINE,AUD60A,95X240X545,1
MACHINE,AUD60A,95X240X545,1
MACHINE,AUD60A,95.3X240X545,1
MACHINE,AUD60A,95X240X545,1
MACHINE,AUD60A,95.3X240X545,1
MACHINE,AUD60A,95X240X545,1
,DAC-I,100X245X550,2
MACHINE,SKD61,52.3X300.4,1
,DAC-I,100X245X550,1
,DAC-I,100X245X550,1
,DAC-I,100X245X550,1
,YXR33,60X144,2
,YXR33,46X240,1
,YXR33,42X237,1
,YXR33,60X144,1
,YXR33,46X243,1
,YXR33,46X247,1
Die Parts (FG),DAC,25X208,1
DIE PART(FG),SLD,150X30,1
DIE PART(FG),SCM440,155X34,1
DIE PART(FG),YXR3,35X56.3X150,2
DIE PART (FG),DAC,25X216.5,2
DIE PART (FG),DAC,25X213,2
DIE PART (FG),DM,25X33X42,2
DIE PART (FG),DM,14.5X15X95,3
,SCM435,228X280,2
,SCM435,330X75,2
,DM,268X20,2
,DAC,215.7X234.3,1
,DAC,40X450,2
