CstmrCD,Cstmr.Name,Mfg.No.,RE,ProductName,StartDate
AI005,"AICHI FORGE (THAILAND) CO., LTD.",250959894,37315-0K010(9-65116)4511,MEI22-11-013,26/09/2025
AI005,"AICHI FORGE (THAILAND) CO., LTD.",250957003,JBA31-000010(9-65112)3321,MEI19-11-004,07/09/2025
AI005,"AICHI FORGE (THAILAND) CO., LTD.",250957016,JBA31-000020(9-65113)3321,X16-170,07/09/2025
AI005,"AICHI FORGE (THAILAND) CO., LTD.",250956998,JBA23-000030(9-65108)3321,X14-226,07/09/2025
AI005,"AICHI FORGE (THAILAND) CO., LTD.",250958425,S56C-11301(MAZDA-S5)3311,X17-001,16/09/2025
AI005,"AICHI FORGE (THAILAND) CO., LTD.",250956998,JBA23-000030(9-65108)3321,X14-226,07/09/2025
AI005,"AICHI FORGE (THAILAND) CO., LTD.",251063171,41251-0K100(9-65114)4423,MEI24-12-003,17/10/2025
AI005,"AICHI FORGE (THAILAND) CO., LTD.",250959613,13411-0E010(2GD)3327,X14-211,23/09/2025
AI005,"AICHI FORGE (THAILAND) CO., LTD.",251064978,41251-0K100(9-65114)4423,MEI24-12-003,27/10/2025
AI005,"AICHI FORGE (THAILAND) CO., LTD.",251062315,JBA23-000030(9-65108)3412,MEI25-07-005,10/10/2025
AI005,"AICHI FORGE (THAILAND) CO., LTD.",251062334,JBA23-000030(9-65108)3421C,X13-114,10/10/2025
AI005,"AICHI FORGE (THAILAND) CO., LTD.",250959587,SC6-A1(SC127A),T18-177,23/09/2025
AI005,"AICHI FORGE (THAILAND) CO., LTD.",251064360,37315-0K010(9-65116)4511,MEI22-11-013,23/10/2025
AI005,"AICHI FORGE (THAILAND) CO., LTD.",251064376,JBA23-000030(9-65108)4511,X14-286,23/10/2025
AI005,"AICHI FORGE (THAILAND) CO., LTD.",251064347,41251-0K100(9-65114)4426,MEI22-09-018,23/10/2025
AI005,"AICHI FORGE (THAILAND) CO., LTD.",251064587,13411-0E010(2GD)4412,MEI20-11-003,24/10/2025
AI005,"AICHI FORGE (THAILAND) CO., LTD.",251064592,13411-0E010(2GD)4422,MEI20-11-003,24/10/2025
AI005,"AICHI FORGE (THAILAND) CO., LTD.",251064798,41251-0K100(9-65114)4426,MEI22-09-018,25/10/2025
AI005,"AICHI FORGE (THAILAND) CO., LTD.",251064814,JBA23-000030(9-65108)3412,MEI25-07-005,25/10/2025
AI005,"AICHI FORGE (THAILAND) CO., LTD.",251064573,13411-0E010(2GD)4212,X16-095,24/10/2025
AI005,"AICHI FORGE (THAILAND) CO., LTD.",251064583,13411-0E010(2GD)4222,MEI20-11-003,24/10/2025
AI005,"AICHI FORGE (THAILAND) CO., LTD.",251065282,13411-0Y150(2NR)4221,MEI24-02-015,30/10/2025
