Mfg.No.,Part figure,process,set,ma
250959894,DIE PART (FG),SS,0,0
250959894,DIE PART (FG),T2,0,0
250959894,DIE PART (FG),H1,0,0
250959894,DIE PART (FG),GS,0,0
250959894,DIE PART (FG),M2,0,0
250959894,DIE PART (FG),LAP,0,0
250959894,DIE PART (FG),T3,0,0
250959894,DIE PART (FG),XX,0,0
250957003,DIE PART(FG),SZ,0,0
250957003,DIE PART(FG),T2,0,0
250957003,DIE PART(FG),6F,0,0
250957003,DIE PART(FG),WC,0,0
250957003,DIE PART(FG),M2,0,0
250957003,DIE PART(FG),M2,0,0
250957003,DIE PART(FG),T3,0,0
250957003,DIE PART(FG),XX,0,0
250957016,DIE PART(FG),SZ,0,0
250957016,DIE PART(FG),T2,0,0
250957016,DIE PART(FG),6F,0,0
250957016,DIE PART(FG),WC,0,0
250957016,DIE PART(FG),M2,0,0
250957016,DIE PART(FG),M2,0,0
250957016,DIE PART(FG),T3,0,0
250957016,DIE PART(FG),XX,0,0
250956998,DIE PART(FG),SZ,0,0
250956998,DIE PART(FG),T2,0,0
250956998,DIE PART(FG),6F,0,0
250956998,DIE PART(FG),M2,0,0
250956998,DIE PART(FG),WC,0,0
250956998,DIE PART(FG),M2,0,0
250956998,DIE PART(FG),T3,0,0
250956998,DIE PART(FG),XX,0,0
250958425,DIE PART (FG),SS,0,0
250958425,DIE PART (FG),T2,0,0
250958425,DIE PART (FG),GD,0,0
250958425,DIE PART (FG),M1,0,0
250958425,DIE PART (FG),WG,0,0
250958425,DIE PART (FG),WG,0,0
250958425,DIE PART (FG),WC,0,0
250958425,DIE PART (FG),WG,0,0
250958425,DIE PART (FG),M2,0,0
250958425,DIE PART (FG),SCN,0,0
250958425,DIE PART (FG),T3,0,0
250958425,DIE PART (FG),XX,0,0
250956998,DIE PART(FG),SZ,0,0
250956998,DIE PART(FG),T2,0,0
250956998,DIE PART(FG),6F,0,0
250956998,DIE PART(FG),M2,0,0
250956998,DIE PART(FG),WC,0,0
250956998,DIE PART(FG),M2,0,0
250956998,DIE PART(FG),M2,0,0
250956998,DIE PART(FG),T3,0,0
250956998,DIE PART(FG),XX,0,0
251063171,MACHINE,SH,0,0
251063171,MACHINE,T2,0,0
251063171,MACHINE,L1,0,0
251063171,MACHINE,M1,0,0
251063171,MACHINE,H1,0,0
251063171,MACHINE,GS,0,0
251063171,MACHINE,L2,0,0
251063171,MACHINE,M2,0,0
251063171,MACHINE,L2,0,0
251063171,MACHINE,M2,0,0
251063171,MACHINE,T3,0,0
251063171,MACHINE,XX,0,0
250959613,DIE PART9FG),SS,0,0
250959613,DIE PART9FG),T2,0,0
250959613,DIE PART9FG),H1,0,0
250959613,DIE PART9FG),6F,0,0
250959613,DIE PART9FG),M2,0,0
250959613,DIE PART9FG),WC,0,0
250959613,DIE PART9FG),T3,0,0
250959613,DIE PART9FG),XX,0,0
251064978,MACHINE,SH,0,0
251064978,MACHINE,T2,0,0
251064978,MACHINE,L1,0,0
251064978,MACHINE,M1,0,0
251064978,MACHINE,M2,0,0
251064978,MACHINE,H1,0,0
251064978,MACHINE,GS,0,0
251064978,MACHINE,L2,0,0
251064978,MACHINE,M2,0,0
251064978,MACHINE,T3,0,0
251064978,MACHINE,XX,0,0
251062315,DIE PART (FG),SZ,0,0
251062315,DIE PART (FG),T2,0,0
251062315,DIE PART (FG),6F,0,0
251062315,DIE PART (FG),M1,0,0
251062315,DIE PART (FG),H1,0,0
251062315,DIE PART (FG),GS,0,0
251062315,DIE PART (FG),M2,0,0
251062315,DIE PART (FG),H2,0,0
251062315,DIE PART (FG),T3,0,0
251062315,DIE PART (FG),XX,0,0
251062334,DIE PART (FG),SZ,0,0
251062334,DIE PART (FG),T2,0,0
251062334,DIE PART (FG),6F,0,0
251062334,DIE PART (FG),M1,0,0
251062334,DIE PART (FG),H1,0,0
251062334,DIE PART (FG),GS,0,0
251062334,DIE PART (FG),M2,0,0
251062334,DIE PART (FG),T3,0,0
251062334,DIE PART (FG),XX,0,0
250959587,SPARE PART,SZ,0,0
250959587,SPARE PART,T2,0,0
250959587,SPARE PART,L1,0,0
250959587,SPARE PART,H1,0,0
250959587,SPARE PART,L2,0,0
250959587,SPARE PART,M2,0,0
250959587,SPARE PART,T3,0,0
250959587,SPARE PART,XX,0,0
251064360,DIE PART (FG),SS,0,0
251064360,DIE PART (FG),T2,0,0
251064360,DIE PART (FG),H1,0,0
251064360,DIE PART (FG),GS,0,0
251064360,DIE PART (FG),M2,0,0
251064360,DIE PART (FG),LAP,0,0
251064360,DIE PART (FG),T3,0,0
251064360,DIE PART (FG),XX,0,0
251064376,DIE PART (FG),SS,0,0
251064376,DIE PART (FG),T2,0,0
251064376,DIE PART (FG),H1,0,0
251064376,DIE PART (FG),GS,0,0
251064376,DIE PART (FG),M2,0,0
251064376,DIE PART (FG),LAP,0,0
251064376,DIE PART (FG),T3,0,0
251064376,DIE PART (FG),XX,0,0
251064347,DIE PART (FG),SZ,0,0
251064347,DIE PART (FG),T2,0,0
251064347,DIE PART (FG),L1,0,0
251064347,DIE PART (FG),M1,0,0
251064347,DIE PART (FG),H1,0,0
251064347,DIE PART (FG),GS,0,0
251064347,DIE PART (FG),L2,0,0
251064347,DIE PART (FG),T3,0,0
